2000,5.527681504475453
2001,4.298861727934316
2002,4.2959033862183285
2003,4.31355470876429
2004,4.322590190053488
2005,4.298510422634525
2006,4.2896831998478975
2007,4.308807258242974
2008,4.295147084220828
2009,4.315373453490148
2010,4.2885952712100135
2011,4.30401070331742
2012,4.3035300098497125
2013,4.300990574853817
2014,4.315411946101763
2015,4.292624334502013
2016,4.293731139881242
2017,4.297966298663567
2018,4.291940000767253
2019,4.292793312859353
2020,4.298110430510162
2021,4.283581300705584
2022,4.305608248342967
2023,4.292555143991724
2024,5.514023650697393
2025,4.294105862082782
2026,4.302915562287012
2027,4.29442469657668
2028,4.298939352733206
2029,4.305372483068951
2030,4.300533096401599
2031,4.295880732314255
2032,4.299738606180699
2033,4.318893626655598
2034,4.2931207462241385
2035,4.299050632911392
2036,4.309105612979858
2037,4.309098979138926
2038,4.3049165044284186
2039,4.294026762312043
2040,4.290268317568872
2041,4.31206932553769
2042,4.297611543041255
2043,4.295173412250634
2044,4.307040237793802
2045,4.2962788038479705
2046,4.305015544041451
2047,4.299715557754143
2048,4.302225665586702
2049,5.500578719280773
